name,queryDataDirectory,productListDirectory,AveragePriceDirectory,VolumeDirectory,AllListingsLink,AuctionLink,BuyItNowLink
Panasonic Lumix DMC-ZS100,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix DMC-ZS100&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix DMC-ZS100&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix DMC-ZS100&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Panasonic Lumix G7,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix G7&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix G7&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix G7&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Panasonic Lumix G9,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix G9&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix G9&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix G9&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Panasonic Lumix GH4,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GH4&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GH4&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GH4&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Panasonic Lumix GH5,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GH5&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GH5&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GH5&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Panasonic Lumix GX7,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GX7&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GX7&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Panasonic Lumix GX7&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Passing,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Passing&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Passing&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Passing&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
PlayStation 1,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 1&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 1&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 1&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
PlayStation 2,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 2&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 2&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 2&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
PlayStation 3,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 3&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 3&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 3&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
PlayStation 4,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 4&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 4&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 4&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
PlayStation 5,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 5&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 5&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=PlayStation 5&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200The Beatles Please Please Me
Pride and Prejudice,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Pride and Prejudice&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Pride and Prejudice&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Pride and Prejudice&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1050,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1050&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1050&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1050&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1050 Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1050 Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1050 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1050 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1060,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1060&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1060&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1060&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1070 ,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1070 &LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1070 &LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1070 &LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1070 Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1070 Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1070 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1070 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1080,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1080&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1080&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1080&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1080 Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1080 Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1080 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1080 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1650,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1650&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1650&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1650&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1650 Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1650 Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1650 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1650 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1660,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1660 Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660 Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 1660 Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660 Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 1660 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 2060,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2060&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2060&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2060&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 2060 Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2060 Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2060 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2060 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 2070,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2070&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2070&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2070&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 2070 Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2070 Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2070 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2070 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 2080,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 2080 Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080 Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080 Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 2080 Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080 Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 2080 Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 3070,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3070&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3070&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3070&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 3080,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3080&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3080&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3080&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX 3090,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3090&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3090&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX 3090&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1050,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1050&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1050&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1050&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1050_Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1050_Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1050_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1050_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1060,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1060&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1060&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1060&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1070_,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1070_&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1070_&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1070_&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1070_Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1070_Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1070_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1070_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1080,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1080&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1080&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1080&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1080_Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1080_Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1080_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1080_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1650,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1650&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1650&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1650&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1650_Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1650_Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1650_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1650_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1660,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1660_Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660_Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_1660_Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660_Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_1660_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_2060,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2060&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2060&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2060&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_2060_Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2060_Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2060_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2060_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_2070,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2070&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2070&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2070&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_2070_Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2070_Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2070_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2070_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_2080,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_2080_Super,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080_Super&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080_Super&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_2080_Ti,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080_Ti&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_2080_Ti&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_3070,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3070&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3070&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3070&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_3080,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3080&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3080&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3080&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RTX_3090,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3090&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3090&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RTX_3090&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RX 470,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 470&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 470&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 470&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RX 480,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 480&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 480&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 480&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
RX 5500 XT,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 5500 XT&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 5500 XT&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=RX 5500 XT&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
