name,queryDataDirectory,productListDirectory,AveragePriceDirectory,VolumeDirectory,AllListingsLink,AuctionLink,BuyItNowLink
Canon EOS M50,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS M50&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS M50&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS M50&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS R,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS R&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS R&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS R&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS Rebel,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS Rebel T,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS Rebel T6,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T6&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T6&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T6&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS Rebel T7I,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T7I&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T7I&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Rebel T7I&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon IXUS,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon IXUS&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon IXUS&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon IXUS&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon PowerShot,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon PowerShot ELPH,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot ELPH&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot ELPH&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot ELPH&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon PowerShot SD,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot SD&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot SD&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon PowerShot SD&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
"Carter Reed (Carter Reed, #1)",,,,,"https://www.ebay.com/sch/i.html?_from=R40&_nkw=Carter Reed (Carter Reed, #1)&LH_Sold=1&LH_Complete=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Carter Reed (Carter Reed, #1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200","https://www.ebay.com/sch/i.html?_from=R40&_nkw=Carter Reed (Carter Reed, #1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200"
